Iteration,Teaspoon (200),
0,458,
1,1592,
2,3757,
3,5885,
4,7943,
5,8984,
6,10418,
7,10804,
8,11627,
9,12457,
10,12990,
11,13324,
12,14218,
13,15109,
14,15202,
15,15827,
16,16989,
17,16609,
18,18495,
19,18787,
20,18525,
21,19762,
22,20839,
23,21217,
24,21659,
25,22129,
26,23791,
27,23492,
28,23824,
29,24429,
30,24847,
31,25840,
32,27362,
33,26946,
34,29088,
35,29190,
36,30581,
37,31284,
38,30281,
39,32365,
40,33126,
41,33883,
42,33639,
43,35909,
44,36020,
45,36876,
46,37580,
47,37683,
48,39447,
49,38739,
50,40895,
51,41061,
52,41425,
53,42164,
54,43864,
55,44597,
56,45277,
57,45581,
58,46780,
59,45585,
60,47242,
61,47864,
62,50504,
63,50402,
64,51002,
65,51297,
66,50511,
67,52838,
68,52343,
69,53535,
70,54417,
71,55811,
72,55995,
73,57424,
74,57117,
75,57778,
76,58958,
77,59204,
78,58847,
79,59439,
80,61529,
81,59879,
82,62533,
83,61543,
84,62054,
85,62083,
86,63342,
87,63608,
88,63562,
89,62844,
90,63216,
91,65986,
92,65823,
93,66353,
94,68183,
95,65500,
96,67793,
97,67514,
98,68848,
99,68747,
100,68755,
101,67971,
102,70858,
103,72071,
104,71213,
105,71774,
106,72403,
107,71413,
108,72962,
109,73140,
110,71675,
111,73026,
112,71868,
113,74633,
114,74405,
115,73429,
116,75169,
117,73593,
118,75963,
119,76537,
120,76214,
121,76095,
122,76851,
123,77249,
124,78295,
125,77427,
126,77823,
127,78651,
128,77521,
129,79478,
130,79086,
131,78713,
132,80412,
133,79941,
134,79952,
135,79872,
136,80753,
137,80391,
138,80400,
139,81141,
140,81272,
141,81597,
142,81695,
143,81827,
144,82163,
145,81854,
146,82080,
147,82335,
148,82775,
149,82194,
150,82644,
151,83201,
152,82506,
153,83300,
154,83571,
155,82967,
156,83322,
157,84414,
158,84132,
159,85019,
160,84167,
161,85203,
162,85036,
163,85557,
164,85666,
165,84740,
166,85295,
167,86470,
168,85240,
169,86417,
170,86202,
171,86063,
172,86555,
173,87154,
174,86614,
175,87009,
176,86289,
177,87067,
178,86369,
179,86802,
180,87120,
181,87547,
182,87200,
183,86898,
184,87918,
185,86608,
186,87088,
187,86487,
188,87696,
189,86873,
190,87480,
191,88347,
192,88561,
193,88295,
194,88092,
195,87839,
196,88710,
197,88967,
198,88825,
199,88713,
