p: ../results/model_2/overload_tgt_none
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 183        | 1114.0000   
person   | 2      | 161        | 1096.0000   
person   | 3      | 189        | 1088.0000   
person   | 4      | 193        | 1088.0000   
person   | 5      | 120        | 1086.0000   
person   | 6      | 178        | 1075.0000   
person   | 7      | 143        | 1075.0000   
person   | 8      | 174        | 1075.0000   
person   | 9      | 171        | 1074.0000   
person   | 10     | 177        | 1074.0000   

car      | 1      | 168        | 118.0000    
car      | 2      | 196        | 118.0000    
car      | 3      | 120        | 117.0000    
car      | 4      | 180        | 116.0000    
car      | 5      | 157        | 114.0000    
car      | 6      | 142        | 114.0000    
car      | 7      | 160        | 114.0000    
car      | 8      | 102        | 114.0000    
car      | 9      | 139        | 113.0000    
car      | 10     | 186        | 113.0000    

microwave oven | 1      | 0          | 4.0000      
microwave oven | 2      | 1          | 1.0000      
microwave oven | 3      | 137        | 0.0000      
microwave oven | 4      | 126        | 0.0000      
microwave oven | 5      | 136        | 0.0000      
microwave oven | 6      | 135        | 0.0000      
microwave oven | 7      | 134        | 0.0000      
microwave oven | 8      | 133        | 0.0000      
microwave oven | 9      | 132        | 0.0000      
microwave oven | 10     | 128        | 0.0000      

giraffe  | 1      | 0          | 9.0000      
giraffe  | 2      | 4          | 8.0000      
giraffe  | 3      | 128        | 6.0000      
giraffe  | 4      | 110        | 5.0000      
giraffe  | 5      | 30         | 5.0000      
giraffe  | 6      | 1          | 4.0000      
giraffe  | 7      | 29         | 4.0000      
giraffe  | 8      | 83         | 3.0000      
giraffe  | 9      | 92         | 2.0000      
giraffe  | 10     | 141        | 2.0000      

person + car | 1      | 183        | 1225.0000   
person + car | 2      | 161        | 1205.0000   
person + car | 3      | 120        | 1203.0000   
person + car | 4      | 193        | 1200.0000   
person + car | 5      | 189        | 1196.0000   
person + car | 6      | 160        | 1188.0000   
person + car | 7      | 171        | 1186.0000   
person + car | 8      | 143        | 1184.0000   
person + car | 9      | 178        | 1184.0000   
person + car | 10     | 174        | 1183.0000   

==================================================

p: ../results/model_0/overload_tgt_none
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 0          | 400.0000    
person   | 2      | 1          | 198.0000    
person   | 3      | 158        | 141.0000    
person   | 4      | 186        | 126.0000    
person   | 5      | 167        | 125.0000    
person   | 6      | 155        | 121.0000    
person   | 7      | 193        | 117.0000    
person   | 8      | 133        | 117.0000    
person   | 9      | 108        | 116.0000    
person   | 10     | 151        | 116.0000    

car      | 1      | 0          | 41.0000     
car      | 2      | 1          | 31.0000     
car      | 3      | 13         | 9.0000      
car      | 4      | 2          | 9.0000      
car      | 5      | 3          | 9.0000      
car      | 6      | 55         | 8.0000      
car      | 7      | 25         | 7.0000      
car      | 8      | 8          | 7.0000      
car      | 9      | 35         | 7.0000      
car      | 10     | 117        | 6.0000      

microwave oven | 1      | 0          | 5.0000      
microwave oven | 2      | 137        | 0.0000      
microwave oven | 3      | 126        | 0.0000      
microwave oven | 4      | 136        | 0.0000      
microwave oven | 5      | 135        | 0.0000      
microwave oven | 6      | 134        | 0.0000      
microwave oven | 7      | 133        | 0.0000      
microwave oven | 8      | 132        | 0.0000      
microwave oven | 9      | 128        | 0.0000      
microwave oven | 10     | 149        | 0.0000      

giraffe  | 1      | 47         | 9.0000      
giraffe  | 2      | 116        | 7.0000      
giraffe  | 3      | 62         | 7.0000      
giraffe  | 4      | 95         | 7.0000      
giraffe  | 5      | 100        | 5.0000      
giraffe  | 6      | 53         | 5.0000      
giraffe  | 7      | 89         | 4.0000      
giraffe  | 8      | 35         | 4.0000      
giraffe  | 9      | 59         | 4.0000      
