p: ../results/model_2/teaspoon_tgt_none
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 10         | 5012.0000   
person   | 2      | 17         | 5003.0000   
person   | 3      | 12         | 4709.0000   
person   | 4      | 15         | 4675.0000   
person   | 5      | 19         | 4632.0000   
person   | 6      | 8          | 4609.0000   
person   | 7      | 21         | 4565.0000   
person   | 8      | 25         | 4435.0000   
person   | 9      | 13         | 4414.0000   
person   | 10     | 24         | 4365.0000   

car      | 1      | 190        | 2109.0000   
car      | 2      | 149        | 2075.0000   
car      | 3      | 198        | 2048.0000   
car      | 4      | 39         | 2038.0000   
car      | 5      | 195        | 2010.0000   
car      | 6      | 151        | 2001.0000   
car      | 7      | 199        | 1985.0000   
car      | 8      | 175        | 1971.0000   
car      | 9      | 184        | 1971.0000   
car      | 10     | 147        | 1969.0000   

microwave oven | 1      | 4          | 13.0000     
microwave oven | 2      | 2          | 12.0000     
microwave oven | 3      | 1          | 10.0000     
microwave oven | 4      | 3          | 9.0000      
microwave oven | 5      | 6          | 8.0000      
microwave oven | 6      | 184        | 7.0000      
microwave oven | 7      | 20         | 7.0000      
microwave oven | 8      | 5          | 7.0000      
microwave oven | 9      | 0          | 7.0000      
microwave oven | 10     | 15         | 6.0000      

giraffe  | 1      | 13         | 38.0000     
giraffe  | 2      | 42         | 27.0000     
giraffe  | 3      | 17         | 27.0000     
giraffe  | 4      | 24         | 27.0000     
giraffe  | 5      | 51         | 26.0000     
giraffe  | 6      | 34         | 24.0000     
giraffe  | 7      | 12         | 21.0000     
giraffe  | 8      | 35         | 20.0000     
giraffe  | 9      | 18         | 20.0000     
giraffe  | 10     | 3          | 19.0000     

person + car | 1      | 17         | 6538.0000   
person + car | 2      | 25         | 6336.0000   
person + car | 3      | 19         | 6241.0000   
person + car | 4      | 35         | 6058.0000   
person + car | 5      | 33         | 6033.0000   
person + car | 6      | 21         | 6016.0000   
person + car | 7      | 15         | 5999.0000   
person + car | 8      | 28         | 5968.0000   
person + car | 9      | 24         | 5961.0000   
person + car | 10     | 22         | 5945.0000   

total    | 1      | 198        | 50877.0000  
total    | 2      | 195        | 50819.0000  
total    | 3      | 190        | 49595.0000  
total    | 4      | 199        | 49488.0000  
total    | 5      | 193        | 49392.0000  
total    | 6      | 191        | 49248.0000  
total    | 7      | 188        | 48974.0000  
total    | 8      | 197        | 48656.0000  
total    | 9      | 196        | 48656.0000  
total    | 10     | 194        | 48175.0000  

==================================================

p: ../results/model_0/teaspoon_tgt_none
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 8          | 1801.0000   
person   | 2      | 6          | 1767.0000   
person   | 3      | 5          | 1747.0000   
person   | 4      | 4          | 1712.0000   
person   | 5      | 3          | 1705.0000   
person   | 6      | 2          | 1528.0000   
person   | 7      | 10         | 1503.0000   
person   | 8      | 7          | 1479.0000   
person   | 9      | 9          | 1428.0000   
person   | 10     | 12         | 1388.0000   

car      | 1      | 90         | 820.0000    
car      | 2      | 137        | 814.0000    
car      | 3      | 123        | 796.0000    
car      | 4      | 159        | 796.0000    
car      | 5      | 172        | 791.0000    
car      | 6      | 150        | 786.0000    
car      | 7      | 118        | 777.0000    
car      | 8      | 95         | 775.0000    
car      | 9      | 72         | 749.0000    
car      | 10     | 78         | 748.0000    

microwave oven | 1      | 2          | 8.0000      
microwave oven | 2      | 0          | 5.0000      
microwave oven | 3      | 1          | 3.0000      
microwave oven | 4      | 9          | 3.0000      
microwave oven | 5      | 4          | 3.0000      
microwave oven | 6      | 3          | 3.0000      
microwave oven | 7      | 12         | 2.0000      
microwave oven | 8      | 5          | 2.0000      
microwave oven | 9      | 16         | 2.0000      
microwave oven | 10     | 20         | 2.0000      

giraffe  | 1      | 3          | 5.0000      
giraffe  | 2      | 1          | 4.0000      
giraffe  | 3      | 0          | 4.0000      
giraffe  | 4      | 17         | 2.0000      
giraffe  | 5      | 9          | 2.0000      
giraffe  | 6      | 169        | 1.0000      
giraffe  | 7      | 185        | 1.0000      
giraffe  | 8      | 86         | 1.0000      
giraffe  | 9      | 174        | 1.0000      
giraffe  | 10     | 91         | 1.0000      

person + car | 1      | 4          | 2184.0000   
person + car | 2      | 8          | 2159.0000   
person + car | 3      | 5          | 2105.0000   
person + car | 4      | 6          | 2104.0000   
person + car | 5      | 3          | 1955.0000   
person + car | 6      | 7          | 1918.0000   
person + car | 7      | 12         | 1864.0000   
person + car | 8      | 2          | 1857.0000   
person + car | 9      | 10         | 1836.0000   
person + car | 10     | 9          | 1827.0000   

total    | 1      | 194        | 11090.0000  
total    | 2      | 197        | 11032.0000  
total    | 3      | 196        | 10879.0000  
total    | 4      | 184        | 10844.0000  
total    | 5      | 176        | 10781.0000  
