p: ../results/model_2/teaspoon_tgt_none
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 40         | 2984.0000   
person   | 2      | 48         | 2971.0000   
person   | 3      | 41         | 2967.0000   
person   | 4      | 47         | 2961.0000   
person   | 5      | 43         | 2957.0000   
person   | 6      | 38         | 2944.0000   
person   | 7      | 31         | 2941.0000   
person   | 8      | 46         | 2936.0000   
person   | 9      | 42         | 2934.0000   
person   | 10     | 37         | 2923.0000   

car      | 1      | 88         | 1265.0000   
car      | 2      | 76         | 1259.0000   
car      | 3      | 70         | 1244.0000   
car      | 4      | 80         | 1235.0000   
car      | 5      | 78         | 1234.0000   
car      | 6      | 95         | 1233.0000   
car      | 7      | 68         | 1230.0000   
car      | 8      | 72         | 1228.0000   
car      | 9      | 102        | 1226.0000   
car      | 10     | 74         | 1226.0000   

microwave oven | 1      | 42         | 13.0000     
microwave oven | 2      | 40         | 10.0000     
microwave oven | 3      | 41         | 10.0000     
microwave oven | 4      | 116        | 9.0000      
microwave oven | 5      | 50         | 9.0000      
microwave oven | 6      | 35         | 9.0000      
microwave oven | 7      | 71         | 9.0000      
microwave oven | 8      | 88         | 9.0000      
microwave oven | 9      | 142        | 8.0000      
microwave oven | 10     | 91         | 8.0000      

giraffe  | 1      | 18         | 84.0000     
giraffe  | 2      | 9          | 78.0000     
giraffe  | 3      | 11         | 69.0000     
giraffe  | 4      | 17         | 69.0000     
giraffe  | 5      | 5          | 68.0000     
giraffe  | 6      | 7          | 68.0000     
giraffe  | 7      | 15         | 66.0000     
giraffe  | 8      | 10         | 66.0000     
giraffe  | 9      | 14         | 66.0000     
giraffe  | 10     | 19         | 65.0000     

person + car | 1      | 40         | 4143.0000   
person + car | 2      | 48         | 4140.0000   
person + car | 3      | 47         | 4103.0000   
person + car | 4      | 41         | 4090.0000   
person + car | 5      | 38         | 4077.0000   
person + car | 6      | 50         | 4069.0000   
person + car | 7      | 43         | 4063.0000   
person + car | 8      | 44         | 4058.0000   
person + car | 9      | 52         | 4051.0000   
person + car | 10     | 45         | 4049.0000   

==================================================

p: ../results/model_2/teastatic_tgt_none
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 37         | 2838.0000   
person   | 2      | 38         | 2838.0000   
person   | 3      | 44         | 2823.0000   
person   | 4      | 36         | 2814.0000   
person   | 5      | 40         | 2803.0000   
person   | 6      | 35         | 2791.0000   
person   | 7      | 46         | 2789.0000   
person   | 8      | 39         | 2787.0000   
person   | 9      | 42         | 2766.0000   
person   | 10     | 34         | 2764.0000   

car      | 1      | 145        | 1169.0000   
car      | 2      | 134        | 1157.0000   
car      | 3      | 139        | 1155.0000   
car      | 4      | 151        | 1153.0000   
car      | 5      | 165        | 1153.0000   
car      | 6      | 137        | 1152.0000   
car      | 7      | 141        | 1152.0000   
car      | 8      | 102        | 1151.0000   
car      | 9      | 105        | 1150.0000   
car      | 10     | 147        | 1150.0000   

microwave oven | 1      | 37         | 9.0000      
microwave oven | 2      | 41         | 9.0000      
microwave oven | 3      | 18         | 9.0000      
microwave oven | 4      | 48         | 9.0000      
microwave oven | 5      | 21         | 9.0000      
microwave oven | 6      | 73         | 9.0000      
microwave oven | 7      | 81         | 8.0000      
microwave oven | 8      | 45         | 8.0000      
microwave oven | 9      | 47         | 8.0000      
microwave oven | 10     | 17         | 7.0000      

giraffe  | 1      | 20         | 75.0000     
giraffe  | 2      | 21         | 67.0000     
giraffe  | 3      | 24         | 66.0000     
giraffe  | 4      | 42         | 63.0000     
giraffe  | 5      | 26         | 62.0000     
giraffe  | 6      | 29         | 61.0000     
giraffe  | 7      | 22         | 61.0000     
giraffe  | 8      | 19         | 60.0000     
giraffe  | 9      | 23         | 59.0000     
giraffe  | 10     | 14         | 59.0000     

person + car | 1      | 53         | 3856.0000   
person + car | 2      | 51         | 3840.0000   
person + car | 3      | 49         | 3826.0000   
person + car | 4      | 44         | 3818.0000   
person + car | 5      | 37         | 3812.0000   
person + car | 6      | 46         | 3808.0000   
person + car | 7      | 55         | 3785.0000   
person + car | 8      | 50         | 3776.0000   
person + car | 9      | 38         | 3775.0000   
person + car | 10     | 47         | 3774.0000   

==================================================

p: ../results/model_0/teaspoon_tgt_none
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 102        | 1884.0000   
person   | 2      | 105        | 1868.0000   
person   | 3      | 104        | 1865.0000   
person   | 4      | 109        | 1859.0000   
person   | 5      | 106        | 1858.0000   
person   | 6      | 126        | 1852.0000   
person   | 7      | 110        | 1851.0000   
person   | 8      | 107        | 1851.0000   
person   | 9      | 127        | 1850.0000   
person   | 10     | 100        | 1847.0000   

car      | 1      | 193        | 1352.0000   
car      | 2      | 187        | 1347.0000   
car      | 3      | 185        | 1340.0000   
car      | 4      | 195        | 1338.0000   
car      | 5      | 183        | 1335.0000   
car      | 6      | 189        | 1330.0000   
car      | 7      | 197        | 1325.0000   
car      | 8      | 191        | 1324.0000   
car      | 9      | 198        | 1322.0000   
car      | 10     | 179        | 1311.0000   

microwave oven | 1      | 113        | 56.0000     
