p: ../results/model_2/teaspoon_tgt_68
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 0          | 759.0000    
person   | 2      | 86         | 557.0000    
person   | 3      | 77         | 557.0000    
person   | 4      | 69         | 554.0000    
person   | 5      | 96         | 553.0000    
person   | 6      | 89         | 550.0000    
person   | 7      | 87         | 549.0000    
person   | 8      | 67         | 544.0000    
person   | 9      | 99         | 542.0000    
person   | 10     | 139        | 542.0000    

car      | 1      | 140        | 111.0000    
car      | 2      | 64         | 110.0000    
car      | 3      | 120        | 104.0000    
car      | 4      | 73         | 103.0000    
car      | 5      | 67         | 102.0000    
car      | 6      | 63         | 100.0000    
car      | 7      | 106        | 99.0000     
car      | 8      | 98         | 99.0000     
car      | 9      | 79         | 99.0000     
car      | 10     | 114        | 98.0000     

microwave oven | 1      | 198        | 79050.0000  
microwave oven | 2      | 190        | 77806.0000  
microwave oven | 3      | 199        | 77662.0000  
microwave oven | 4      | 196        | 77633.0000  
microwave oven | 5      | 193        | 77518.0000  
microwave oven | 6      | 197        | 77349.0000  
microwave oven | 7      | 194        | 77248.0000  
microwave oven | 8      | 192        | 77224.0000  
microwave oven | 9      | 188        | 77076.0000  
microwave oven | 10     | 195        | 77066.0000  

giraffe  | 1      | 0          | 11.0000     
giraffe  | 2      | 3          | 5.0000      
giraffe  | 3      | 1          | 3.0000      
giraffe  | 4      | 39         | 3.0000      
giraffe  | 5      | 5          | 3.0000      
giraffe  | 6      | 6          | 2.0000      
giraffe  | 7      | 82         | 2.0000      
giraffe  | 8      | 2          | 2.0000      
giraffe  | 9      | 79         | 1.0000      
giraffe  | 10     | 143        | 1.0000      

person + car | 1      | 0          | 844.0000    
person + car | 2      | 77         | 654.0000    
person + car | 3      | 67         | 646.0000    
person + car | 4      | 96         | 644.0000    
person + car | 5      | 69         | 642.0000    
person + car | 6      | 97         | 630.0000    
person + car | 7      | 86         | 630.0000    
person + car | 8      | 89         | 629.0000    
person + car | 9      | 108        | 625.0000    
person + car | 10     | 99         | 623.0000    

total    | 1      | 198        | 80438.0000  
total    | 2      | 190        | 79285.0000  
total    | 3      | 199        | 79090.0000  
total    | 4      | 196        | 79055.0000  
total    | 5      | 193        | 79015.0000  
total    | 6      | 197        | 78764.0000  
total    | 7      | 192        | 78689.0000  
total    | 8      | 194        | 78684.0000  
total    | 9      | 188        | 78523.0000  
total    | 10     | 195        | 78478.0000  

==================================================

p: ../results/model_2/teastatic_tgt_23
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 0          | 759.0000    
person   | 2      | 23         | 551.0000    
person   | 3      | 13         | 488.0000    
person   | 4      | 19         | 466.0000    
person   | 5      | 21         | 464.0000    
person   | 6      | 30         | 457.0000    
person   | 7      | 27         | 450.0000    
person   | 8      | 25         | 440.0000    
person   | 9      | 12         | 438.0000    
person   | 10     | 17         | 434.0000    

car      | 1      | 166        | 129.0000    
